config,overall_acc,acc_person,acc_bicycle,acc_car,acc_motorcycle,acc_bus,acc_truck,acc_cat,acc_dog,acc_horse,acc_bird
baseline,0.9501187648456056,0.9864636209813875,0.8823529411764706,0.8775510204081632,0.8518518518518519,0.875,0.7391304347826086,0.9629629629629629,0.8863636363636364,0.8275862068965517,0.8181818181818182
synth_1x,0.9501187648456056,0.9847715736040609,0.7647058823529411,0.8775510204081632,0.9259259259259259,0.9166666666666666,0.7391304347826086,0.9629629629629629,0.8636363636363636,0.8620689655172413,0.8181818181818182
synth_2x,0.9513064133016627,0.9847715736040609,0.8823529411764706,0.9591836734693877,0.9259259259259259,0.875,0.7391304347826086,1.0,0.75,0.8275862068965517,0.9090909090909091
